file1,"cod_event;cod_event_in;volcan;est;componente;id_cl;algo_detecion_id;fecha_pick;analista;snr;label_event;c_label;descripcion;prom_ruido_fondo;inicio;fin;largo;prob_vt;prob_lp;prob_tr;prob_ot; 
FREZ05-01-2018_14:49:14.951;173;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.617534;737065.617921;53.587767;0.129403;0.239057;0.494690;0.136850; 
FREZ05-01-2018_15:02:43.461;174;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.626892;737065.627722;71.898162;0.328006;0.084546;0.074538;0.512910; 
FREZ05-01-2018_15:03:57.276;175;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.627746;737065.628481;62.795519;0.035021;0.293934;0.497816;0.173229; 
FREZ05-01-2018_15:05:11.018;176;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.628600;737065.628704;89.587767;0.087876;0.314666;0.502286;0.095173; 
FREZ05-01-2018_15:05:31.683;177;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.628839;737065.629468;62.587767;0.018236;0.378526;0.538552;0.064686; 
FREZ05-01-2018_15:07:23.714;178;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.630136;737065.630257;23.264663;0.287994;0.125938;0.100917;0.485151; 
FREZ05-01-2018_15:08:34.690;179;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.630957;737065.631406;53.587767;0.045823;0.352380;0.423444;0.178353; 
FREZ05-01-2018_15:09:56.390;180;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.631903;737065.632060;34.266194;0.052519;0.484875;0.346099;0.116507; 
FREZ05-01-2018_15:17:35.996;181;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.637222;737065.637672;97.481765;0.128582;0.224752;0.497103;0.149564; 
FREZ05-01-2018_15:18:23.077;182;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.637767;737065.639001;71.795519;0.167305;0.251366;0.408207;0.173121; 
FREZ05-01-2018_15:20:15.420;183;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.639067;737065.639310;98.256349;0.080268;0.318054;0.482835;0.118843; 
FREZ05-01-2018_15:21:00.526;184;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.639589;737065.640093;62.795519;0.048896;0.285537;0.591836;0.073731; 
FREZ05-01-2018_15:41:55.136;185;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.654110;737065.654444;90.176317;0.033134;0.338561;0.588545;0.039760; 
FREZ05-01-2018_15:42:58.876;186;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.654848;737065.655058;95.382473;0.103635;0.331912;0.456129;0.108324; 
FREZ05-01-2018_15:43:54.940;187;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.655497;737065.655760;53.587767;0.088941;0.299979;0.423574;0.187506; 
FREZ05-01-2018_15:51:25.989;188;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.660717;737065.660846;34.266194;0.353183;0.168527;0.027149;0.451140; 
FREZ05-01-2018_15:58:34.803;189;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.665681;737065.665962;44.162015;0.358156;0.126697;0.030709;0.484438; 
FREZ05-01-2018_15:59:49.560;190;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.666546;737065.667086;92.877049;0.089498;0.218597;0.559514;0.132391; 
FREZ05-01-2018_16:00:52.969;191;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.667280;737065.667783;71.898162;0.054702;0.362191;0.524654;0.058453; 
FREZ05-01-2018_16:20:38.608;192;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.681002;737065.681437;53.587767;0.386704;0.112852;0.089908;0.410536; 
FREZ05-01-2018_16:22:03.711;193;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.681987;737065.682343;44.162015;0.042303;0.250696;0.479720;0.227281; 
FREZ05-01-2018_16:31:22.643;194;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.688456;737065.688987;71.898162;0.351043;0.126508;0.095248;0.427201; 
FREZ05-01-2018_16:36:28.850;195;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.692000;737065.692321;58.991300;0.382251;0.135941;0.031622;0.450187; 
FREZ05-01-2018_16:37:00.044;196;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.692362;737065.692467;98.885376;0.100155;0.210831;0.539218;0.149796; 
FREZ05-01-2018_16:37:52.798;197;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.692972;737065.693125;89.974615;0.376666;0.042442;0.038180;0.542713; 
FREZ05-01-2018_16:38:31.317;198;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.693418;737065.693632;44.162015;0.222642;0.200719;0.145897;0.430741; 
FREZ05-01-2018_16:41:36.837;199;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.695565;737065.695746;53.587767;0.087238;0.395223;0.414926;0.102613; 
FREZ05-01-2018_16:43:15.088;200;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.696702;737065.696807;72.691340;0.159443;0.228681;0.405188;0.206687; 
FREZ05-01-2018_16:56:31.312;201;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.705918;737065.706170;44.162015;0.112312;0.276671;0.402874;0.208143; 
FREZ05-01-2018_16:57:51.318;202;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.706844;737065.707466;71.898162;0.155161;0.210328;0.411492;0.223019; 
FREZ05-01-2018_17:18:15.488;203;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.721013;737065.721295;44.162015;0.096447;0.520046;0.269876;0.113631; 
FREZ05-01-2018_17:20:52.231;204;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.722827;737065.723133;98.987314;0.066806;0.292545;0.568898;0.071751; 
FREZ05-01-2018_17:21:38.277;205;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.723360;737065.723618;34.266194;0.069406;0.474049;0.328070;0.128476; 
FREZ05-01-2018_17:28:29.172;206;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.728115;737065.728220;23.264663;0.243629;0.167195;0.098453;0.490723; 
FREZ05-01-2018_17:33:08.531;207;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.731349;737065.732010;80.949181;0.102758;0.252284;0.532247;0.112712; 
FREZ05-01-2018_17:34:23.758;208;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.732219;737065.733051;98.987314;0.073030;0.377213;0.474720;0.075037; 
FREZ05-01-2018_17:35:47.578;209;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.733189;737065.733541;53.587767;0.024150;0.359015;0.509376;0.107459; 
FREZ05-01-2018_17:51:52.849;210;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.744362;737065.744500;23.264663;0.001952;0.528512;0.298940;0.170596; 
FREZ05-01-2018_18:06:47.264;211;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.754714;737065.754864;23.264663;0.041353;0.485086;0.383963;0.089597; 
FREZ05-01-2018_18:15:05.560;212;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.760481;737065.760764;44.162015;0.333103;0.139327;0.057201;0.470369; 
FREZ05-01-2018_18:16:18.243;213;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.761322;737065.761483;89.242914;0.104451;0.288651;0.458318;0.148580; 
FREZ05-01-2018_18:16:58.049;214;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.761783;737065.762021;79.665741;0.033598;0.354877;0.409485;0.202039; 
FREZ05-01-2018_18:17:38.093;215;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.762246;737065.762404;89.666064;0.108994;0.245327;0.518046;0.127633; 
FREZ05-01-2018_18:18:13.925;216;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.762661;737065.762942;44.162015;0.008183;0.391075;0.591740;0.009002; 
FREZ05-01-2018_18:31:47.670;217;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.772079;737065.772361;44.162015;0.104031;0.457286;0.331959;0.106725; 
FREZ05-01-2018_18:33:10.944;218;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.773043;737065.773161;90.374932;0.044296;0.318015;0.580610;0.057079; 
FREZ05-01-2018_18:34:26.265;219;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.773915;737065.774575;62.795519;0.030309;0.332775;0.594427;0.042489; 
FREZ05-01-2018_18:36:07.564;220;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.775087;737065.775628;98.148483;0.104439;0.235248;0.544074;0.116240; 
FREZ05-01-2018_18:36:59.658;221;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.775690;737065.776709;98.987314;0.103193;0.205078;0.469642;0.222086; 
FREZ05-01-2018_18:52:36.274;222;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.786531;737065.786920;44.162015;0.223646;0.117315;0.093913;0.565127; 
FREZ05-01-2018_18:53:45.364;223;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.787331;737065.787574;53.587767;0.011712;0.369516;0.597667;0.021105; 
FREZ05-01-2018_18:59:39.701;224;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.791432;737065.791715;44.162015;0.260488;0.280413;0.053903;0.405195; 
FREZ05-01-2018_19:20:13.351;225;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.805710;737065.805885;34.266194;0.034499;0.506520;0.396593;0.062388; 
FREZ05-01-2018_19:23:02.909;226;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.807672;737065.808444;89.974615;0.002427;0.370104;0.527956;0.099512; 
FREZ05-01-2018_19:25:41.082;227;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.809503;737065.810562;98.974615;0.106205;0.359114;0.421565;0.113116; 
FREZ05-01-2018_19:27:29.338;228;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.810756;737065.813600;98.987314;0.070254;0.380147;0.426294;0.123304; 
FREZ05-01-2018_19:31:57.206;229;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.813857;737065.814137;53.587767;0.104404;0.294141;0.459450;0.142005; 
FREZ05-01-2018_19:43:48.554;230;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.822090;737065.822506;44.162015;0.245676;0.098011;0.089647;0.566666; 
FREZ05-01-2018_19:44:48.753;231;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.822786;737065.822924;98.626974;0.084286;0.312882;0.503568;0.099265; 
FREZ05-01-2018_19:45:23.499;232;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.823189;737065.823586;53.587767;0.034749;0.241878;0.529069;0.194304; 
FREZ05-01-2018_19:51:08.045;233;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.827176;737065.827525;73.438842;0.091923;0.220137;0.523241;0.164699; 
FREZ05-01-2018_19:51:51.608;234;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.827681;737065.827953;98.987314;0.121271;0.248926;0.471861;0.157942; 
FREZ05-01-2018_19:52:35.695;235;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.828191;737065.828906;98.987314;0.043277;0.368503;0.443016;0.145205; 
FREZ05-01-2018_19:53:48.168;236;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.829030;737065.829367;89.974615;0.095702;0.313609;0.493975;0.096714; 
FREZ05-01-2018_19:54:19.648;237;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.829394;737065.829792;97.707830;0.044492;0.390303;0.502493;0.062711; 
FREZ05-01-2018_19:55:07.556;238;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.829949;737065.830054;98.987314;0.046921;0.349859;0.406595;0.196625; 
FREZ05-01-2018_19:55:23.457;239;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.830133;737065.830323;89.974615;0.112629;0.250592;0.444593;0.192186; 
FREZ05-01-2018_19:55:46.152;240;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.830395;737065.830599;53.587767;0.311608;0.148558;0.107136;0.432698; 
FREZ05-01-2018_19:56:07.847;241;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.830646;737065.830804;34.266194;0.043119;0.593115;0.262848;0.100918; 
FREZ05-01-2018_19:58:07.192;242;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.832028;737065.832182;98.679068;0.131074;0.210175;0.510240;0.148511; 
FREZ05-01-2018_19:59:00.908;243;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.832649;737065.833260;92.836346;0.002583;0.319010;0.523454;0.154953; 
FREZ05-01-2018_20:00:03.970;244;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.833379;737065.833592;92.877049;0.075908;0.313884;0.525680;0.084528; 
FREZ05-01-2018_20:00:26.684;245;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.833642;737065.833826;96.535963;0.028586;0.330766;0.491552;0.149095; 
FREZ05-01-2018_20:01:22.959;246;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.834293;737065.834398;34.266194;0.295994;0.068611;0.053403;0.581992; 
FREZ05-01-2018_21:02:12.207;247;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.876530;737065.876982;44.162015;0.333289;0.087559;0.006609;0.572543; 
FREZ05-01-2018_21:04:04.878;248;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.877834;737065.878348;97.707830;0.027904;0.389339;0.400262;0.182495; 
FREZ05-01-2018_21:04:52.232;249;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.878382;737065.879353;87.272708;0.023441;0.357391;0.521496;0.097672; 
FREZ05-01-2018_21:06:41.374;250;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.879645;737065.879781;98.626974;0.031660;0.335377;0.422532;0.210430; 
FREZ05-01-2018_21:07:17.682;251;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.880066;737065.880651;89.974615;0.087574;0.297004;0.483423;0.131999; 
FREZ05-01-2018_21:12:45.444;252;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.883859;737065.884063;34.266194;0.106945;0.561495;0.224135;0.107426; 
FREZ05-01-2018_21:20:19.605;253;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.889116;737065.889286;34.266194;0.284811;0.146753;0.095064;0.473372; 
FREZ05-01-2018_21:30:00.849;254;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.895843;737065.896131;44.162015;0.333753;0.194111;0.061831;0.410305; 
FREZ05-01-2018_21:34:30.463;255;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.898964;737065.899270;97.481765;0.095069;0.482321;0.201209;0.221402; 
FREZ05-01-2018_21:35:18.893;256;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.899524;737065.899781;98.987314;0.113045;0.319119;0.439610;0.128226; 
FREZ05-01-2018_21:36:09.031;257;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.900104;737065.900405;98.987314;0.038589;0.331696;0.568946;0.060768; 
FREZ05-01-2018_22:53:40.186;258;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.953937;737065.954864;80.949181;0.049880;0.378151;0.511902;0.060066; 
FREZ05-01-2018_22:56:33.622;259;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.955945;737065.957633;98.987314;0.052589;0.329441;0.559691;0.058278; 
FREZ05-01-2018_23:00:04.557;260;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.958386;737065.960005;98.987314;0.052700;0.352695;0.510230;0.084375; 
FREZ05-01-2018_23:02:49.008;261;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.960289;737065.961414;98.987314;0.052428;0.344163;0.540172;0.063238; 
FREZ05-01-2018_23:04:31.346;262;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.961474;737065.961586;97.266194;0.144299;0.427726;0.268709;0.159266; 
FREZ05-01-2018_23:05:20.092;263;99;FRE;Z;1;1;03-08-21;cesar;1.000000;TR;1;no comment;1.000000;737065.962038;737065.963234;98.987314;0.065602;0.323628;0.459747;0.151023; 
FREZ05-01-2018_23:10:08.126;264;99;FRE;Z;1;1;03-08-21;cesar;1.000000;OT;1;no comment;1.000000;737065.965372;737065.965476;97.367240;0.364246;0.171274;0.033153;0.431327; 
FREZ05-01-2018_23:16:18.989;265;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.969664;737065.969769;34.266194;0.128710;0.484605;0.229631;0.157054; 
FREZ05-01-2018_23:26:59.777;266;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.977081;737065.977185;34.266194;0.117003;0.431753;0.323842;0.127401; 
FREZ05-01-2018_23:28:30.776;267;99;FRE;Z;1;1;03-08-21;cesar;1.000000;LP;1;no comment;1.000000;737065.978134;737065.978322;34.266194;0.007971;0.538896;0.310523;0.142609; 
