file1,"pk;id_volcan;est;componente;code_macroevent;code_event;id_tecnica;fecha_pick;autor;t_p;t_s;c_p;c_s;inicio;snr;polar;fecha_cr;descrip;label_event;amplitud;coda;frecuencia
77;99;SHG;Z;20171117_193429.962 ;SHGZ17-11-2017_19:34:27.001;MJo;2021-08-03 17:13:03.134 ;4Testing;2017-11-17T19:34:30.152Z;2017-11-17T19:34:31.762Z;0;0;0;12.9997;nn;0025-07-2T 00:00:00Z; ;OT;2.3895;2017-11-17 19:34:39 ;1.6077
78;99;FRE;Z;20171117_195143.612 ;FREZ17-11-2017_19:51:39.999;MJo;2021-08-03 17:13:03.135 ;4Testing;2017-11-17T19:51:43.612Z;2017-11-17T19:51:45.152Z;0;0;0;6.8789;nn;0025-07-2T 00:00:00Z; ;LP;2.576;2017-11-17 19:51:49 ;2.0492
79;99;FRE;Z;20171117_204251.182 ;FREZ17-11-2017_20:42:47.378;MJo;2021-08-03 17:13:03.136 ;4Testing;2017-11-17T20:42:51.182Z;2017-11-17T20:42:52.632Z;0;0;0;3.722;nn;0025-07-2T 00:00:00Z; ;OT;2.4275;2017-11-17 20:42:59 ;3.1311
80;99;SHG;Z;20171117_204251.182 ;SHGZ17-11-2017_20:42:49.135;MJo;2021-08-03 17:13:03.137 ;4Testing;2017-11-17T20:42:52.372Z;2017-11-17T20:42:54.392Z;0;0;0;2.2476;nn;0025-07-2T 00:00:00Z; ;LP;3.0534;2017-11-17 20:42:59 ;2.9792
81;99;FRE;Z;20171117_210036.082 ;FREZ17-11-2017_21:00:32.178;MJo;2021-08-03 17:13:03.138 ;4Testing;2017-11-17T21:00:36.082Z;2017-11-17T21:00:37.502Z;0;0;0;24.489;nn;0025-07-2T 00:00:00Z; ;LP;3.1615;2017-11-17 21:00:46 ;1.5738
82;99;FRE;Z;20171117_211247.072 ;FREZ17-11-2017_21:12:42.959;MJo;2021-08-03 17:13:03.139 ;4Testing;2017-11-17T21:12:47.072Z;2017-11-17T21:12:47.982Z;0;0;0;6.9901;nn;0025-07-2T 00:00:00Z; ;OT;3.3137;2017-11-17 21:12:56 ;3.1148
83;99;FRE;Z;20171117_221245.522 ;FREZ17-11-2017_22:12:40.978;MJo;2021-08-03 17:13:03.140 ;4Testing;2017-11-17T22:12:45.522Z;2017-11-17T22:12:46.722Z;0;0;0;28.9119;nn;0025-07-2T 00:00:00Z; ;OT;4.2658;2017-11-17 22:12:56 ;1.5574
84;99;SHG;Z;20171117_221245.522 ;SHGZ17-11-2017_22:12:41.688;MJo;2021-08-03 17:13:03.141 ;4Testing;2017-11-17T22:12:45.662Z;2017-11-17T22:12:47.012Z;0;0;0;22.8509;nn;0025-07-2T 00:00:00Z; ;OT;2.4777;2017-11-17 22:12:54 ;1.5954
85;99;FRE;Z;20171117_223908.742 ;FREZ17-11-2017_22:39:03.960;MJo;2021-08-03 17:13:03.141 ;4Testing;2017-11-17T22:39:08.742Z;2017-11-17T22:39:11.492Z;0;0;0;30.5019;nn;0025-07-2T 00:00:00Z; ;LP;7.6536;2017-11-17 22:39:20 ;4.7869
86;99;SHG;Z;20171117_223908.742 ;SHGZ17-11-2017_22:39:03.677;MJo;2021-08-03 17:13:03.142 ;4Testing;2017-11-17T22:39:08.852Z;2017-11-17T22:39:10.492Z;0;0;0;26.5115;nn;0025-07-2T 00:00:00Z; ;LP;4.5613;2017-11-17 22:39:17 ;5.2245
87;99;FRE;Z;20171117_231636.212 ;FREZ17-11-2017_23:16:32.851;MJo;2021-08-03 17:13:03.143 ;4Testing;2017-11-17T23:16:36.212Z;2017-11-17T23:16:38.222Z;0;0;0;25.3724;nn;0025-07-2T 00:00:00Z; ;LP;1.7171;2017-11-17 23:16:41 ;2.0492
88;99;FRE;Z;20171117_234108.302 ;FREZ17-11-2017_23:41:04.580;MJo;2021-08-03 17:13:03.144 ;4Testing;2017-11-17T23:41:08.302Z;2017-11-17T23:41:10.062Z;0;0;0;29.5427;nn;0025-07-2T 00:00:00Z; ;LP;3.4814;2017-11-17 23:41:18 ;1.6066
89;99;FRE;Z;20171118_001416.972 ;FREZ18-11-2017_00:14:13.430;MJo;2021-08-03 17:13:03.145 ;4Testing;2017-11-18T00:14:16.972Z;2017-11-18T00:14:16.892Z;0;0;0;6.2295;nn;0025-07-2T 00:00:00Z; ;LP;2.3141;2017-11-18 00:14:23 ;1.377
90;99;FRE;Z;20171118_010618.202 ;FREZ18-11-2017_01:06:14.961;MJo;2021-08-03 17:13:03.146 ;4Testing;2017-11-18T01:06:18.202Z;2017-11-18T01:06:19.322Z;0;0;0;26.686;nn;0025-07-2T 00:00:00Z; ;OT;6.9207;2017-11-18 01:06:31 ;1.5574
91;99;FRE;Z;20171118_013115.122 ;FREZ18-11-2017_01:31:11.798;MJo;2021-08-03 17:13:03.147 ;4Testing;2017-11-18T01:31:15.122Z;2017-11-18T01:31:15.902Z;0;0;0;29.6087;nn;0025-07-2T 00:00:00Z; ;OT;5.7976;2017-11-18 01:31:28 ;3.918
92;99;FRE;Z;20171118_030021.972 ;FREZ18-11-2017_03:00:18.459;MJo;2021-08-03 17:13:03.148 ;4Testing;2017-11-18T03:00:21.972Z;2017-11-18T03:00:22.802Z;0;0;0;22.8016;nn;0025-07-2T 00:00:00Z; ;OT;3.256;2017-11-18 03:00:30 ;1.5574
93;99;FRE;Z;20171118_032416.062 ;FREZ18-11-2017_03:24:12.113;MJo;2021-08-03 17:13:03.149 ;4Testing;2017-11-18T03:24:16.062Z;2017-11-18T03:24:15.832Z;0;0;0;-0.30849;nn;0025-07-2T 00:00:00Z; ;LP;2.1388;2017-11-18 03:24:21 ;2.0492
94;99;FRE;Z;20171118_035152.072 ;FREZ18-11-2017_03:51:48.112;MJo;2021-08-03 17:13:03.149 ;4Testing;2017-11-18T03:51:52.072Z;2017-11-18T03:51:52.072Z;0;0;0;19.9405;nn;0025-07-2T 00:00:00Z; ;OT;2.4137;2017-11-18 03:51:57 ;1.4426
95;99;FRE;Z;20171118_063320.872 ;FREZ18-11-2017_06:33:16.862;MJo;2021-08-03 17:13:03.150 ;4Testing;2017-11-18T06:33:20.872Z;2017-11-18T06:33:22.062Z;0;0;0;38.4679;nn;0025-07-2T 00:00:00Z; ;LP;9.5506;2017-11-18 06:33:35 ;1.5574
96;99;FRE;Z;20171118_071306.612 ;FREZ18-11-2017_07:13:02.634;MJo;2021-08-03 17:13:03.151 ;4Testing;2017-11-18T07:13:06.612Z;2017-11-18T07:13:07.592Z;0;0;0;15.6393;nn;0025-07-2T 00:00:00Z; ;LP;7.9216;2017-11-18 07:13:19 ;1.5574
97;99;FRE;Z;20171118_071306.612 ;FREZ18-11-2017_07:12:51.511;MJo;2021-08-03 17:13:03.152 ;4Testing;2017-11-18T07:13:06.623Z;2017-11-18T07:13:07.604Z;0;0;0;4.992;nn;0025-07-2T 00:00:00Z; ;TR;7.9216;2017-11-18 07:13:00 ;1.5574
98;99;FRE;Z;20171118_083841.962 ;FREZ18-11-2017_08:38:37.839;MJo;2021-08-03 17:13:03.153 ;4Testing;2017-11-18T08:38:41.962Z;2017-11-18T08:38:43.262Z;0;0;0;39.7039;nn;0025-07-2T 00:00:00Z; ;OT;12.2466;2017-11-18 08:38:56 ;1.4426
99;99;FRE;Z;20171118_101822.072 ;FREZ18-11-2017_10:18:18.298;MJo;2021-08-03 17:13:03.154 ;4Testing;2017-11-18T10:18:22.072Z;2017-11-18T10:18:23.362Z;0;0;0;25.6491;nn;0025-07-2T 00:00:00Z; ;LP;4.454;2017-11-18 10:18:33 ;1.5738
100;99;FRE;Z;20171118_101822.072 ;FREZ16-11-2017_11:01:24.236;MJo;2021-08-03 17:13:03.155 ;4Testing;0000-01-00T00:00:00.000Z;0000-01-00T00:00:00.000Z;0;0;0;0;nn;0025-07-2T 00:00:00Z; ;OT;0.040692;2017-11-16 11:01:33 ;1
"
