file1,"pk;id_volcan;est;componente;code_macroevent;code_event;id_tecnica;fecha_pick;autor;t_p;t_s;c_p;c_s;inicio;snr;polar;fecha_cr;descrip;label_event;amplitud;coda;frecuencia
20;99;SHG;Z;20171116_172221.252 ;SHGZ16-11-2017_17:22:18.454;MJo;2021-08-03 17:13:03.077 ;4Testing;2017-11-16T17:22:21.442Z;2017-11-16T17:22:23.072Z;0;0;0;20.9583;nn;0025-07-2T 00:00:00Z; ;OT;2.4964;2017-11-16 17:22:28 ;1.2518
21;99;FRE;Z;20171116_173437.572 ;FREZ16-11-2017_17:34:33.424;MJo;2021-08-03 17:13:03.078 ;4Testing;2017-11-16T17:34:37.572Z;2017-11-16T17:34:38.492Z;0;0;0;26.2644;nn;0025-07-2T 00:00:00Z; ;LP;3.266;2017-11-16 17:34:45 ;1.4426
22;99;SHG;Z;20171116_173437.572 ;SHGZ16-11-2017_17:34:34.597;MJo;2021-08-03 17:13:03.079 ;4Testing;2017-11-16T17:34:37.772Z;2017-11-16T17:34:39.542Z;0;0;0;9.3724;nn;0025-07-2T 00:00:00Z; ;LP;2.1478;2017-11-16 17:34:43 ;1.2519
23;99;FRE;Z;20171116_181949.332 ;FREZ16-11-2017_18:19:44.988;MJo;2021-08-03 17:13:03.080 ;4Testing;2017-11-16T18:19:49.332Z;2017-11-16T18:19:50.332Z;0;0;0;25.052;nn;0025-07-2T 00:00:00Z; ;OT;4.4107;2017-11-16 18:20:00 ;2.3934
24;99;SHG;Z;20171116_181949.332 ;SHGZ16-11-2017_18:19:46.287;MJo;2021-08-03 17:13:03.081 ;4Testing;2017-11-16T18:19:49.492Z;2017-11-16T18:19:51.412Z;0;0;0;20.681;nn;0025-07-2T 00:00:00Z; ;OT;2.4291;2017-11-16 18:19:56 ;3.0259
25;99;FRE;Z;20171116_184905.512 ;FREZ16-11-2017_18:49:00.199;MJo;2021-08-03 17:13:03.082 ;4Testing;2017-11-16T18:49:05.512Z;2017-11-16T18:49:03.242Z;0;0;0;-0.34055;nn;0025-07-2T 00:00:00Z; ;OT;2.0602;2017-11-16 18:49:09 ;1.5574
26;99;FRE;Z;20171116_195546.982 ;FREZ16-11-2017_19:55:43.499;MJo;2021-08-03 17:13:03.083 ;4Testing;2017-11-16T19:55:46.982Z;2017-11-16T19:55:48.142Z;0;0;0;21.4965;nn;0025-07-2T 00:00:00Z; ;LP;2.4146;2017-11-16 19:55:54 ;1.5738
27;99;FRE;Z;20171116_201253.742 ;FREZ16-11-2017_20:12:49.126;MJo;2021-08-03 17:13:03.084 ;4Testing;2017-11-16T20:12:53.742Z;2017-11-16T20:12:54.942Z;0;0;0;25.766;nn;0025-07-2T 00:00:00Z; ;OT;3.3496;2017-11-16 20:13:05 ;1.377
28;99;SHG;Z;20171116_201253.742 ;SHGZ16-11-2017_20:12:50.766;MJo;2021-08-03 17:13:03.084 ;4Testing;2017-11-16T20:12:53.922Z;2017-11-16T20:12:55.432Z;0;0;0;18.9468;nn;0025-07-2T 00:00:00Z; ;OT;2.9032;2017-11-16 20:13:03 ;1.3909
29;99;SHG;Z;20171116_202347.832 ;SHGZ16-11-2017_20:23:44.466;MJo;2021-08-03 17:13:03.085 ;4Testing;2017-11-16T20:23:47.832Z;2017-11-16T20:23:49.762Z;0;0;0;14.7516;nn;0025-07-2T 00:00:00Z; ;LP;3.1098;2017-11-16 20:23:57 ;1.3936
30;99;FRE;Z;20171116_202347.832 ;FREZ16-11-2017_20:23:43.515;MJo;2021-08-03 17:13:03.086 ;4Testing;2017-11-16T20:23:48.042Z;2017-11-16T20:23:49.282Z;0;0;0;15.356;nn;0025-07-2T 00:00:00Z; ;OT;4.6469;2017-11-16 20:23:59 ;1.377
31;99;SHG;Z;20171116_210430.612 ;SHGZ16-11-2017_21:04:26.793;MJo;2021-08-03 17:13:03.087 ;4Testing;2017-11-16T21:04:30.612Z;2017-11-16T21:04:34.253Z;0;0;0;-5.9085;nn;0025-07-2T 00:00:00Z; ;OT;2.8813;2017-11-16 21:04:38 ;5.8653
32;99;FRE;Z;20171116_210430.612 ;FREZ16-11-2017_21:04:26.074;MJo;2021-08-03 17:13:03.088 ;4Testing;2017-11-16T21:04:31.052Z;2017-11-16T21:04:31.102Z;0;0;0;-4.4737;nn;0025-07-2T 00:00:00Z; ;OT;2.6608;2017-11-16 21:04:37 ;2.4754
